iteration,runtime (seconds)
1,0.517726
2,0.533625
3,0.495285
4,0.519817
5,0.522351
6,0.491852
7,0.468828
8,0.485696
9,0.472171
10,0.486825
11,0.473513
12,0.51787
13,0.514708
14,0.480288
15,0.467615
16,0.49184
17,0.482257
18,0.476478
19,0.530995
20,0.482938
21,0.452647
22,0.481092
23,0.439157
24,0.492874
25,0.50455
26,0.486399
27,0.482018
28,0.514279
29,0.51726
30,0.49455
31,0.487363
32,0.485926
33,0.443329
34,0.478253
35,0.446168
36,0.556955
37,0.447135
38,0.435624
39,0.46549
40,0.471327
41,0.467999
42,0.442827
43,0.465504
44,0.521745
45,0.497868
46,0.470684
47,0.491344
48,0.523567
49,0.512041
50,0.449176
51,0.491659
52,0.643265
53,0.546588
54,0.518698
55,0.486419
56,0.530788
57,0.509149
58,0.501225
59,0.447919
60,0.480922
61,0.479715
62,0.482488
63,0.603117
64,0.546856
65,0.542724
66,0.564364
67,0.518106
68,0.511391
69,0.461715
70,0.485605
71,0.451366
72,0.479955
73,0.485999
74,0.47462
75,0.509928
76,0.50406
77,0.452549
78,0.475903
79,0.491856
80,0.496212
81,0.479384
82,0.465619
83,0.4971
84,0.519893
85,0.485559
86,0.472118
87,0.481628
88,0.45548
89,0.528814
90,0.466002
91,0.476463
92,0.515932
93,0.454067
94,0.494889
95,0.466123
96,0.491587
97,0.47031
98,0.483073
99,0.496265
100,0.439427
